,Document,Treaty Name,Council Start Date,Council End Date,Council City,Council State,Speaker,Position,Native | Non-Native,Tribe or Ethnicity,Text,neg,pos,neu,compound,Negative,Positive,start_year,start_month,start_day,end_year,end_month,end_day
0,1768.txt,Treaty of Fort Stanwix,1768-10-24,1768-11-05,Rome,NY,Canaghquieson,Chief,Native,Oneida,"At a Congress with the several Nations on Tuesday 25th Octr. PRESENT — as before. Canaghquieson, Chief of Oneida, stood up & addressing all present, observed that the several American Governors had Indian Names, by which they were known to the Indians, the Governor of New Jersey excepted; that he therefore thought it necessary to compliment him with a name, which he did by bestowing his own name upon him, on which his Excellency Governor [William] Franklin shook him by the hand & returned him thanks. Then Canaghquieson proceeded to answer the ceremony of Condolence as follows. Brother, We congratulate you, the Governor and the rest of the Gentlemen, on your safe arrival at this Place, where we are heartily glad to meet you. Then after repeating what Sir William had said on the first strings, yesterday, he said, they did on their parts wipe away the Tears which their Brothers the English were shedding for their losses as also the blood of their friends from their seats, cleansing their hearts that they may be able to attend the important affairs which were to be transacted. Gave 3 Strings. Then repeated all that Sir William had said on the Black Belts given at the Condolence for all which he returned thanks and said. Brother, We are much concerned at the losses you have met with since our last Congress, and we sincerely condole with you upon the occasion for them all. A Belt of 9 Rows. Brother, We thank you for rekindling our several Council Fires, whereby we are enabled to proceed to business as formerly, and we shall endeavour to render our Meetings useful to the Public. A Belt. Brother, We thank you for the advice you give us, to assemble duly when the publick affairs require it, and we assure you that we will direct our thoughts, to the maintenance of Peace and good order. A Belt. Brother, We are much obliged to you for dispelling the darkness that surrounded our several Nations on account of our many losses. This we take very kindly of you, as we were in great heaviness for some time past, and all our Nations join in thanking you and performing the same on their parts. A Belt. Brother, We all express our thanks to you for the remembrance of our ancient ceremonies. We consider them as the cement of our union, and as you have cleansed us with water, we do in like manner take of the clearest running stream & wash your inside thoroughly therewith cleansing you from all impurities. A Belt. Brother, We esteem the advice you have given our chiefs to consult the young men as occasion may require, and your directions that they should on their parts pay due regard to us, and we shall observe whatever you have recommended to us A Belt. Brother, We are sensible that we have but two great Council Fires, the one at your house, the other at Onondaga, We shall always be ready to attend at either for the public Good, and we hope that you will continue to be ready to meet us often as the general Peace requires it A Belt. Brother, We give you thanks for recommending unanimity to us. We know that our living together is necessary to our happiness and that it gives us strength. We will follow your advice, and we recommend it to the English to be unanimous in all good works. A Belt. Brother, We are happy to find you so observant of our ancient Customs, that you give us a string in a Pouch to make use of when we have occasion to communicate our losses and condole for them. We request you will be equally observant of these matters, that so our Grief may be timely and properly removed. A Belt. Brother, We also give you many thanks for supplying us with a Torch to travel with on emergencies. We assure that we shall make proper use of it, & communicate every necessary intelligence to you. All the six Nations, with the Shawanese, Delawares, & all their dependents as far as to the great Plains of Scioto, give you thanks for your good words which were a cordial to them, and they all request that you will continue in the same good sentiments. 3 Strings. The Ceremony of condolence being ended, Sir William gave them a short exhortation after which the Chiefs arose and shook hands with Governor Franklin & Canaghquieson addressing him said, that as he had given him his own name, he hoped that they would endeavour to acquire as much reputation with it amongst the People as he had done. The Governor returned them many thanks. At a Congress Wednesday Oct. 26. PRESENT — as before. Canaghquieson stood up and said that the Six Nations not being satisfied with his having given his own name to Governor Franklin had met upon it, and in testimony of their sense of his, and his Peoples justice in causing the murderers of some Indians to be put to death within his Government did now confer upon him the name of Sagorighweyoghsta, or the Great Arbiter or Doer of Justice, wishing that he and the people of his Government might continue to act with the same Justice they had hitherto done.",0.036,0.155,0.809,0.9989,False,True,1768,10,24,1768,11,5
1,1768.txt,Treaty of Fort Stanwix,1768-10-24,1768-11-05,Rome,NY,Abraham,Chief,Native,Mohawk,"Then Abraham Chief of the Mohawks after repeating what Sir William had said addressed him. Brother, We give you thanks for what you have said to us at this time, it is a weighty affair, and we shall agreeable to your desire take it into our most serious consideration. We are glad that so many great men are assembled to bear witness of the transaction and we are now resolved to retire and consult on a proper answer to be given to all you have said, & so soon as we have agreed upon it, we shall give you notice that we may again assemble, and make it known to you and we are all much obliged to you that you have directed us to attend to this great affair alone at this time that our minds might not be burdened or diverted from it by attending to anything else.",0.022,0.158,0.82,0.9706,False,True,1768,10,24,1768,11,5
2,1768.txt,Treaty of Fort Stanwix,1768-10-24,1768-11-05,Rome,NY,Canaghquieson,Chief,Native,Oneida,Then Canaghquieson addressed the whole and desired that the several Nations might look towards the Onondagas who would appoint him a time and place for taking the matter into consideration.,0.0,0.106,0.894,0.296,False,True,1768,10,24,1768,11,5
3,1768.txt,Treaty of Fort Stanwix,1768-10-24,1768-11-05,Rome,NY,Native Speaker,,Native,,"At a Congress with the several Nations on Friday the 28th day of October 1768. The Indians continued in private Council till 4 P. M. when they sent to let Sir William know, that they would be glad to speak with him: being all seated the Speaker addressed Sir William. Brother, We have been for some time deliberating on what you said concerning a Line between the English and us, & we are sensible it would be for our mutual advantage if it were not transgressed, but daily experience teaches us that we cannot have any great dependance on the white People, and that they will forget their agreements for the sake of our Lands — However you have said so much to us upon it that we are willing to believe more favorably in this case. Brother, You remember when we spoke last concerning this Boundary, that we did not agree about the way it should run from Oswego  — This is a point that must now be settled for to what purpose could it be to draw a Line between us & the country of Virginia & Pennsylvania whilst the way to our Towns lay open. We would therefore know what you intend to propose as a Boundary to the Northward that we take it into consideration and we shall be glad that you explain it fully to us, that no mistake may be made on either side.",0.062,0.056,0.882,-0.3327,True,False,1768,10,24,1768,11,5
4,1768.txt,Treaty of Fort Stanwix,1768-10-24,1768-11-05,Rome,NY,Native Speaker,,Native,,"Brother, We have hearkened to all that you have said and we thank you for your advice which we believe is well intended — But this is a great Cession of Land which will require much thought and attention and therefore we shall defer the consideration of it till tomorrow. Brother, Before we answer you about the continuation of the Line we must say something to you concerning the extent of it to the Southward which we find is no further than Kanhawa River. Now Brother, you, who know all our affairs, must be sensible that our Rights go much farther to the Southward and that we have a very good & clear Title to the Lands as far as the Cherokee River which we can not allow to be right of any other Indians without doing wrong to our Posterity and acting unworthy those Warriors who fought & conquered it. We therefore expect this our Right will be considered. Brother, We are now to speak about continuing the Line as you said from Delaware so as to close it, and you recommend it to us to give you plenty for the people. We were formerly generous & gave the white people in many places Lands when they were too poor to buy them. We have often had bad Returns. Nevertheless, we would still act generously and mean to do as much as we can without ruining our Children. Brother, You know that the country from Oswego quite to Oswego is full of our Towns & Villages and that it is very dear to us so that we cannot be expected to part with what lies at our Doors, besides your people are come already too close to us. We therefore think that the Line should run up the Delaware to the Swamp & from that run across to the Governor Cosbys Land and then go away to Lake George which we can not but think a fair offer.",0.081,0.103,0.817,0.846,False,True,1768,10,24,1768,11,5
5,1768.txt,Treaty of Fort Stanwix,1768-10-24,1768-11-05,Rome,NY,Native Speakers,,Native,,"At night several of the Chiefs came to Sir William's Quarters to let him know the purport of Intelligence and Belts received from the Shawanese, which was that according to the old agreement subsisting between the several Indian Nations, they were all to unite and attack the English as soon as the latter became formidable to them. That several of the Nations to the South and West greatly alarmed at the Power and increase of the English and irritated at the ill treatment they had met with had expressed a desire to meet the rest to deliberate on what was to be done. That the Spaniards & French had for a long time urged them to take up arms and given them repeated assurances of a powerful assistance. That they had now called them to a meeting at the Mississippi near the mouth of the Ohio for that purpose. That they had sent many Belts among the Indians, a great part of whom were just ready to set out when Sir Williams message came to them, and that they waited the event of the Treaty at Fort Stanwix before they would come to any further resolution with a variety of other particulars all tending to corroborate the former Intelligence received by Sir William Johnson. In the morning the Indians again met in Council, when the Warriors came and laid before their Sachems the result of their deliberations yesterday concerning the Northern part of the Line who directed four of their Sachems viz Tyaruruante, Ganaquieson, Tyeransera, and Tagawaron to wait on Sir William and communicate the same which was, that the Line should run from Oriscany to Tianderhah, and down that River to the Susquehanna, thence in a straight Line to the Hills, and so to the Delaware Branch & down the same to Oswego, thence down the Susquehanna to Shamokin, and so along the West Branch of that River to Kittanning declaring they would not part with any Lands to the Westward of Oriscany or down towards Wyoming or the Great Island, as they reserved that part of the Country for their Dependents.",0.031,0.086,0.883,0.9618,False,True,1768,10,24,1768,11,5
6,1768.txt,Treaty of Fort Stanwix,1768-10-24,1768-11-05,Rome,NY,Tagwaron,Chief,Native,Oneida,"At night Tagawaron returned with the Map to Sir William, informed him that they were then debating on the subject but much divided in opinion, and added that he thought his Nation disagreeably circumstanced the rest having thrown so much of the transaction to the Northward on their lands. Nevertheless, he would do all he could to obtain a more favorable settlement. After which Sir William had many other private conferences which occupied a great part of the night — In particular Six Chiefs of the Oneidas came to him at nine o'clock at night and they very much doubted the validity of the purchase above Orisca — But through Sr Williams solicitations and to shew their good disposition towards completing the work in hand, they would agree that the Line should run from the Susquehanna North across at Fort Newport near Fort Stanwix where the Boats are launched, and from thence to the Northwest corner of the late purchase for Lord Holland & others. They promised to use their best endeavours for that purpose & withdrew.",0.032,0.162,0.806,0.982,False,True,1768,10,24,1768,11,5
7,1768.txt,Treaty of Fort Stanwix,1768-10-24,1768-11-05,Rome,NY,Native Speakers,,Native,Oneida,"At 10 A M. The Oneidas returned to Sir Williams Quarters, and told him that their people positively refused to agree to any other Line than they had proposed the last night, & that as Game began to grow scarce in their neighbourhood, they had come to a Resolution to keep the carrying Place to the Canada Creek in their hands, as by keeping Horses and Carriages there as they proposed to do for the future to carry over the Traders Goods, they might earn somewhat for the support of their families. They thereupon withdrew to consult further upon it. They shortly after returned and said that Sir William had been so desirous to have the Bounds further extended the last and only thing they could say was, that provided they were allowed an equal use of the carrying Place with the English and to be paid Six Hundred Dollars to the Tribes over and besides the several Fees which were given in private, they should extend the Line to Canada Creek Sir William finding it best not to urge this matter farther told them that he acquiesced for the present leaving it to be confirmed or rejected by His Majesty They answered that they considered and unanimously resolved that whatever Boundary Line was now agreed to should be for ever binding & conclusive on both sides. That no province should on any pretence invade the Line and that whatever transaction might thereafter be necessary should be with the King or those by him directed to treat with them. ",0.028,0.091,0.881,0.9343,False,True,1768,10,24,1768,11,5
8,1768.txt,Treaty of Fort Stanwix,1768-10-24,1768-11-05,Rome,NY,Canaghquieson,Chief,Native,Oneida,"At night Canaquieson came to inform Sir William that they had further considered the general subject of the Line & would send a chief & Warrior from each Nation with their final resolves which they would deliver in public the next day. They accordingly came to Sir William's Quarters, when Sir William told them, he hoped they were now come with such an answer as would be pleasing to all Parties. The Map being then laid before them, they said, that what they had to say was the final resolves of all the Nations, then said at the same time, tracing it on the Map that they would agreeable to their just Claims begin the Line at the mouth of the Cherokee River, then go along to the South East side of the Ohio to Kittanning, from thence to the Head of the West Branch of Susquehanna thence down the same to Bald Eagle Creek thence across the River at Tiadaghta Creek below the great Island, thence by a straight Line to Burnett's Hills and along the same to the mouth of Awanda Creek on the West Side of the East Branch of Susquehanna, thence up the stream thereof to Oswego, thence Eastward to the Delaware River, thence up the stream thereof till they come opposite to the mouth of Tianaderah Creek emptying into Susquehanna, thence up the West side of Tianaderrah to the head of its Westerly Branch, and from thence to the mouth of Canada Creek on Wood Creek. This they delivered as their final determinations subject to several conditions for the security of their possessions and engagements entered into, and for that part which would fall within the Pennsylvania Government, they insisted on having 10,000 Dollars. Sir William told them he would take the matter into consideration and would assemble them all tomorrow and after parting conferred with the Commissioners of Pennsylvania concerning the same who approved it, and agreed to the consideration on behalf of the Proprietors.",0.005,0.094,0.901,0.9779,False,True,1768,10,24,1768,11,5
9,1768.txt,Treaty of Fort Stanwix,1768-10-24,1768-11-05,Rome,NY,Native Speaker,,Native,,"Brother, We are hopeful that you will not take it amiss that we have delayed till now our public answer on the subject you recommended to us, This was a great and weighty matter requiring long deliberation, and should not be undertaken lightly — We have accordingly considered it, and are now come to give you our final resolutions thereon, to which we beg your attention. Brother, We remember that on our first Meeting with you, when you came with your ship we kindly received you, entertained you, entered into an alliance with you, though we were then great & numerous and your people inconsiderable and week and we know that we entered into a Covenant Chain with you and fastened your ship therewith, but being apprehensive the Bark would break and your ship be lost we made one of iron, and held it fast that it should not slip from us, but perceiving the former chain was liable to rust; We made a silver chain to guard against it Then, Brother, you arose, renewed that chain which began to look dull, and have for many years taken care of our affairs by the command of the Great King, & you by your labors have polished that chain so that it has looked bright and is become known to all Nations, for all which we shall ever regard you and we are thankful to you in that you have taken such care of these great affairs of which we are always mindful, and we do now on our parts renew and strengthen the Covenant Chain by which we will abide so long as you shall preserve it strong & bright on your part. A Belt. Brother, We are glad that you have opened the River and cleared the Roads as it is so necessary to us both. We were promised that when the war was over, we should have Trade in plenty, Goods cheap and honest men to deal with us and that we should have proper persons to manage all this. We hope that these promises will never be forgot but that they will be fully performed that we shall feel the benefits of an intercourse between us — that the Roads and waters may be free and open to us all to go to the Southward, or for our friends from thence with whom we are now at peace to visit us, that we may have proper persons in our Countries to manage affairs and smiths to mend our arms and implements — and in the expectation of this, we do, now on our parts open the Roads and waters, and promise to assist in keeping them so. A Belt. Then after repeating all that had been said concerning the Line proceeded. Brother, We have long considered this proposal for a Boundary between us, and we think it will be of good consequence if you on your parts pay due regard to it, and we in consequence thereof have had sundry Meetings amongst ourselves and with you and from all that you have said to us thereon, we have at length come to a final resolution concerning it, and we hope that what is now agreed upon shall be inviolably observed on your parts as we are determined it shall be on ours and that no further attempts shall be made on our Lands but that this Line, be considered as final and we do now agree to the Line we have marked upon your Map, now before you on certain conditions on which we have spoken and shall say more and we desire that one Article of this our agreement be, that none of the Provinces or their People shall attempt to invade it under color of any old Deeds, or other pretences what soever for in many of these things we have been imposed on, and therefore we disclaim them all, which Bounds now agreed to we begin on the Ohio at the mouth of the Cherokee River [1] which is now our just right, and from thence we give up on the South side of Ohio to Kittanning above Fort Pitt, from thence a direct Line to the nearest Fork of the West Branch of Susquehanna thence through the Allegany Mountains along the south side of the said West Branch till we come opposite to the mouth of the Creek called Tiadaghton thence across the Nest Branch & along the East side of that Creek and along the ridge of Burnets Hills to a Creek called Awandae thence down the same to the East Branch of the Susquehanna, and across the same and up the East side of that River to Oswego, from thence Eastward to Delaware River, and up that River to opposite where Trinaderha falls into Susquehanna, thence to Trienaderha and up the West side thereof and its West Branches to the Head thereof thence by a straight Line to the mouth of Canada Creek where it empties itself into Wood Creek at the end of the long carrying place beyond Fort Stanwix, and this we declare to be our final Resolves and we expect that the conditions of this our Grant will be observed A Belt. Brother, Now as we have made so large a Cession to the King of such a valuable and Extensive Country, We do expect it as the Terms of our Agreement that strict regard be paid to all our reasonable desires — We do now on this on behalf and in the name of all our Warriors of every Nation, condition that all our Warriors shall have the liberty of hunting throughout the Country as they have no other means of subsistence and as your people have not the same occasions or inclinations. That the White people be restricted from hunting on our side of the Line to prevent contentions between us. A Belt. Brother, By this Belt we address ourselves to the Great King of England through You our superintendent in the Name and in behalf of all the Six Nations Shawanese, Delawares and all other our Friends, Allies, & Dependents, We now tell the King that we have given to him a great and valuable Country, and we know that what we shall now get for it must be far short of its value. We make it a condition of this our Agreement concerning the Line that His Majesty will not forget or neglect to show us His favor or suffer the Chain to contract Rust, but that he will direct those who have the management of our affairs to be punctual in renewing our ancient agreements. That as the Mohawks are now within the Line which we give to the King, and that these people are the true old heads of the whole confederacy their several villages and all the Land they occupy unpainted, about them as also the Residences of any others in our confederacy affected by this Cession shall be considered as their sole property and at their disposal both now, and so long as the sun shines, and that all grants or engagements they have now or lately entered into, shall be considered as independent of this Boundary so that they who have so little left may not lose the benefit of the sale of it, but that the people, with whom they have agreed, may have the Land. We likewise further condition on behalf of all the Six Nations and of all our allies, friends & Nephews our Dependents that as we have experienced how difficult it is to get justice or to make our complaints known and that it is not in the power of our Superintendent to take care of our affairs in different Places without the Kings help that His Majesty will give him help & strength to do us justice and to manage our affairs in a proper manner. We all know the want of this, and we make it a point of great consequence on which this our present Agreement is to depend and without which Affairs will go wrong and our heads may be turned. Brother, We likewise desire that as we have now given up a great deal of Lands within the Bounds that Mr Penn claimed a right of buying that he may in consequence of the agreement now entered into between us, enjoy what we have given within the Limits. And as we know that Lydius of Albany did in the name of several persons lay claim to Lands in Pennsylvania, which we know to be unjust, and that the Deeds he pretends a right to were invalid, We expect that no regard will be paid to them or any such claims now or hereafter, as we have fairly sold them to the proprietors of Pennsylvania to whom alone we shall sell Lands within that Province, and we shall now give them a Deed for that & other Lands there. And in order to show that we love justice, we expect the Traders who suffered by some of our dependents in the wars five years ago, may have a grant for the Lands we now give them down Ohio, as a satisfaction for their losses, and as our friend Mr [George] Croghan long ago got a Deed for Lands from us, which may now be taken into the Pennsylvania Lands, should it so happen, we request that it may be considered and get as much from the King somewhere else, as he fairly bought it. And as we have given enough to show our Love for the King and make his people easy, in the next place we expect that no old claims which we disavow or new encroachments may be allowed of. Brother, We have now gone through this matter and we have shown ourselves ready to give the King whatever we could reasonably spare. We on our parts express our regard for him and we hope for His favor in return. Our words are strong and our resolutions firm & we expect that our request will be complied with in so much as we have so generously complied with all that has been desired as far as was consistent with our Existence A Belt.",0.041,0.156,0.803,0.9997,False,True,1768,10,24,1768,11,5
